epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1714,0.98233,3.84787,1.23594,0.38787,0.36291,0.22666,0.16981,0.69208,2.54881,0.93927,0.00326923,0.00326923,0.00326923
2,52.1591,1.02259,2.37755,1.3576,0.17558,0.78116,0.22165,0.17241,0.67302,3.79517,1.04263,0.00659603,0.00659603,0.00659603
3,71.1537,0.96748,1.8089,1.23,0.1603,0.71021,0.26459,0.2036,0.69279,5.4631,0.96625,0.00991622,0.00991622,0.00991622
4,88.6196,1.03706,1.69967,1.24759,0.45572,0.50519,0.33264,0.24607,0.7001,3.31392,0.94201,0.0099703,0.0099703,0.0099703
5,106.496,0.96797,1.63591,1.18817,0.45214,0.58116,0.32787,0.2261,0.74586,8.28986,0.96491,0.0099604,0.0099604,0.0099604
6,123.331,0.99554,1.57639,1.20554,0.23652,0.65224,0.35866,0.25778,0.748,4.53757,0.94337,0.0099505,0.0099505,0.0099505
7,140.837,1.01595,1.55849,1.1924,0.49587,0.55462,0.41277,0.29844,0.74802,5.07132,0.93644,0.0099406,0.0099406,0.0099406
8,158.712,1.03041,1.46967,1.2133,0.47196,0.53291,0.41392,0.29623,0.77238,6.28293,0.96573,0.0099307,0.0099307,0.0099307
9,175.771,1.02193,1.45774,1.20905,0.56232,0.41708,0.42335,0.29867,0.78157,7.07523,0.93823,0.0099208,0.0099208,0.0099208
10,193.64,1.00123,1.39245,1.19617,0.31687,0.66603,0.41609,0.29479,0.76632,6.08751,0.93638,0.0099109,0.0099109,0.0099109
11,211.562,0.96937,1.35281,1.14909,0.56058,0.44023,0.42689,0.31658,0.77531,4.68753,0.92345,0.009901,0.009901,0.009901
12,229.655,0.95081,1.29214,1.16157,0.41483,0.61011,0.44581,0.32489,0.76246,5.73426,0.92266,0.0098911,0.0098911,0.0098911
13,247.68,1.0003,1.29901,1.1733,0.34198,0.68725,0.47294,0.33216,0.79828,2.57634,0.97092,0.0098812,0.0098812,0.0098812
14,265.596,0.94559,1.29459,1.14531,0.38742,0.64286,0.47293,0.33304,0.80133,3.29654,0.95138,0.0098713,0.0098713,0.0098713
15,283.608,0.96208,1.22837,1.15067,0.4255,0.57915,0.47129,0.34428,0.79443,2.61762,0.93804,0.0098614,0.0098614,0.0098614
16,301.581,0.95094,1.19607,1.14226,0.38963,0.7097,0.48254,0.35263,0.78155,7.48096,0.96431,0.0098515,0.0098515,0.0098515
17,319.61,0.93044,1.20293,1.11131,0.40707,0.6954,0.51207,0.36602,0.83108,5.86125,0.99669,0.0098416,0.0098416,0.0098416
18,337.671,0.87648,1.18363,1.09866,0.41476,0.55614,0.45341,0.31929,0.83586,3.00255,1.02505,0.0098317,0.0098317,0.0098317
19,354.969,0.91905,1.19856,1.11266,0.4129,0.62735,0.50692,0.37105,0.77948,2.77956,0.96595,0.0098218,0.0098218,0.0098218
20,373.052,0.88095,1.11353,1.09309,0.44612,0.65533,0.48362,0.35739,0.77009,3.51388,0.94875,0.0098119,0.0098119,0.0098119
21,390.526,0.8857,1.11354,1.10581,0.43656,0.61019,0.46396,0.33637,0.78603,5.17112,0.949,0.009802,0.009802,0.009802
22,407.868,0.89257,1.12923,1.11512,0.4223,0.61014,0.47703,0.34813,0.80283,3.3077,0.97231,0.0097921,0.0097921,0.0097921
23,425.219,0.82484,1.0697,1.05908,0.42721,0.6637,0.49421,0.36268,0.78198,3.91641,0.96389,0.0097822,0.0097822,0.0097822
24,442.555,0.84819,1.03977,1.07349,0.4599,0.58917,0.49205,0.36536,0.77988,4.13199,0.93917,0.0097723,0.0097723,0.0097723
25,459.943,0.85201,1.11231,1.09096,0.49502,0.52284,0.48744,0.35944,0.77406,6.65119,0.95006,0.0097624,0.0097624,0.0097624
26,477.267,0.82601,1.02285,1.07676,0.46055,0.57791,0.48632,0.35398,0.77797,5.06992,0.95501,0.0097525,0.0097525,0.0097525
