epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,63.302,1.02765,1.66336,1.022,1.40248,0.25683,0.35714,0.20293,0.1012,0.28251,0.21429,0.15968,0.11528,1.98055,11.6645,3.28038,3.32015,0.00162079,0.00162079,0.00162079
30,65.4159,0.98566,1.80892,0.97267,1.3912,0.30948,0.34614,0.23251,0.12806,0.28161,0.2775,0.21344,0.13925,2.67364,14.3606,2.59034,3.94292,0.00161914,0.00161914,0.00161914
31,67.4238,0.87032,1.53566,0.86677,1.25854,0.35459,0.42857,0.24882,0.14604,0.24021,0.35714,0.20315,0.13595,2.03816,14.0139,2.65204,3.21418,0.00161749,0.00161749,0.00161749
32,69.3934,0.88328,1.53269,0.8649,1.25153,0.3783,0.21429,0.25723,0.13081,0.84588,0.14286,0.16348,0.10149,2.00804,20.6547,5.58542,3.00727,0.00161584,0.00161584,0.00161584
33,71.3294,1.0136,1.92353,1.00739,1.41554,0.59331,0.35714,0.40413,0.25782,0.5,0.21175,0.32139,0.22763,1.95703,23.2934,2.17229,2.78179,0.00161419,0.00161419,0.00161419
34,73.3302,0.92206,1.56591,0.87236,1.3308,0.66499,0.35714,0.3371,0.18017,0.47824,0.14286,0.17592,0.13759,2.14084,48.3166,2.27831,2.87151,0.00161254,0.00161254,0.00161254
35,75.3963,1.0676,1.70889,1.01858,1.40951,0.39125,0.2711,0.31805,0.21051,0.22788,0.28571,0.22887,0.18579,2.07636,43.4537,2.25149,2.88906,0.00161089,0.00161089,0.00161089
36,77.3791,1.04007,1.8383,0.96929,1.39666,0.45123,0.57143,0.43526,0.31164,0.33959,0.42857,0.30309,0.13474,1.5565,10.3306,1.98579,2.16486,0.00160924,0.00160924,0.00160924
37,79.3961,0.91108,1.68042,0.90023,1.29759,0.39804,0.57143,0.49554,0.36268,0.34175,0.35714,0.2826,0.13973,1.59615,11.7388,2.24225,2.36445,0.00160759,0.00160759,0.00160759
38,81.363,1.04827,1.65655,1.02922,1.4054,0.46977,0.70972,0.52977,0.35289,0.35143,0.5,0.31003,0.14042,1.75387,11.9479,1.93639,2.40408,0.00160594,0.00160594,0.00160594
39,83.3795,0.92161,1.67814,0.88163,1.33777,0.5515,0.63908,0.63205,0.3807,0.31395,0.57143,0.43929,0.31053,1.39155,6.00422,2.11907,2.05695,0.00160429,0.00160429,0.00160429
40,85.4774,0.96849,1.62332,0.89823,1.39454,0.7464,0.64286,0.76254,0.47656,0.31033,0.5,0.42394,0.34504,1.49844,8.84529,1.75928,2.57274,0.00160264,0.00160264,0.00160264
41,87.4466,0.87689,1.5917,0.87129,1.29747,0.6634,0.8262,0.73683,0.47197,0.42927,0.57143,0.50369,0.40796,1.46259,8.03686,1.26317,2.5072,0.00160099,0.00160099,0.00160099
42,89.4769,0.80307,1.39288,0.76587,1.20758,0.65107,0.70286,0.64284,0.39932,0.43624,0.48992,0.47125,0.36935,1.5808,10.498,1.38198,2.46403,0.00159934,0.00159934,0.00159934
43,91.4186,0.90558,1.71691,0.88366,1.30407,0.45069,0.69538,0.55512,0.35121,0.39353,0.62549,0.44639,0.31567,1.68907,7.9685,1.48684,2.56091,0.00159769,0.00159769,0.00159769
44,93.4121,0.92293,1.74412,0.78864,1.27379,0.46198,0.76677,0.67604,0.33552,0.43729,0.5,0.45206,0.2446,1.9046,6.59101,1.852,2.8173,0.00159604,0.00159604,0.00159604
45,95.38,0.84391,1.51003,0.83546,1.26043,0.7444,0.63424,0.68806,0.34254,0.90525,0.28571,0.34577,0.28561,1.53335,7.70815,2.08979,2.31098,0.00159439,0.00159439,0.00159439
46,97.3795,0.96955,1.74028,0.87696,1.3645,0.88793,0.57143,0.68909,0.36212,0.39524,0.49107,0.39969,0.31533,1.8345,6.73117,1.77034,2.64932,0.00159274,0.00159274,0.00159274
47,99.3793,1.02563,1.65504,0.96529,1.40984,0.883,0.85714,0.85983,0.50625,0.64232,0.64286,0.60079,0.45564,1.28215,3.16388,1.41159,1.99883,0.00159108,0.00159108,0.00159108
48,101.377,0.8074,1.46568,0.78952,1.19909,0.55593,0.87605,0.6858,0.45198,0.42431,0.71429,0.51042,0.40315,1.27455,4.46051,1.93672,1.89825,0.00158943,0.00158943,0.00158943
49,103.397,0.866,1.5737,0.80179,1.27878,0.65433,0.78797,0.8168,0.53615,0.53923,0.69679,0.61024,0.40455,1.15878,6.92337,1.97875,1.8802,0.00158778,0.00158778,0.00158778
50,105.413,0.76939,1.51359,0.75697,1.20605,0.67043,0.79252,0.82893,0.53823,0.59845,0.71429,0.66442,0.41081,1.2547,7.10414,2.59203,1.90266,0.00158613,0.00158613,0.00158613
51,107.43,0.82806,1.5597,0.8834,1.23468,0.68186,0.78571,0.82076,0.52656,0.55616,0.71429,0.71429,0.44114,1.36619,6.69795,2.64531,2.16309,0.00158448,0.00158448,0.00158448
52,109.892,0.81707,1.43714,0.7731,1.22822,0.77744,0.85714,0.82469,0.52547,0.81231,0.78571,0.76272,0.49124,1.45471,3.57758,1.88056,2.30065,0.00158283,0.00158283,0.00158283
53,112.228,0.72652,1.3043,0.70248,1.16847,0.80903,0.87859,0.92626,0.61152,0.47664,0.71429,0.60531,0.44641,1.08808,5.73774,1.59226,1.87981,0.00158118,0.00158118,0.00158118
