epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3648,1.66486,4.70667,1.62913,0.07212,0.17157,0.03168,0.01287,2.08017,5.89808,2.16218,0.00328638,0.00328638,0.00328638
2,69.0721,1.58851,2.1867,1.53029,0.65993,0.17647,0.30796,0.16072,1.6133,3.14711,1.51221,0.00661644,0.00661644,0.00661644
3,92.7626,1.52055,1.99209,1.44979,0.59394,0.58824,0.60223,0.32239,1.4533,7.43059,1.31915,0.0099432,0.0099432,0.0099432
4,116.577,1.52913,1.76955,1.44027,0.21321,0.01961,0.01987,0.00509,2.64982,4.67837,2.76505,0.00998515,0.00998515,0.00998515
5,139.49,1.51631,1.7031,1.44585,0.00913,0.08333,0.00697,0.00241,2.9155,4.98409,2.98484,0.0099802,0.0099802,0.0099802
6,162.55,1.51001,1.63127,1.43484,0.50099,0.5098,0.49398,0.27353,1.4151,7.34274,1.35406,0.00997525,0.00997525,0.00997525
7,185.717,1.46753,1.57326,1.41313,0.53527,0.56373,0.54639,0.26836,1.54358,5.85745,1.49119,0.0099703,0.0099703,0.0099703
8,209.128,1.46068,1.59642,1.38986,0.50688,0.54412,0.48718,0.26444,1.44953,15.2714,1.36652,0.00996535,0.00996535,0.00996535
9,232.422,1.46246,1.49521,1.3995,0.53108,0.53298,0.54946,0.2791,1.491,2.51748,1.52336,0.0099604,0.0099604,0.0099604
10,255.765,1.44703,1.44125,1.3965,0.65575,0.68137,0.66445,0.35357,1.55183,4.27784,1.50094,0.00995545,0.00995545,0.00995545
11,280.281,1.43345,1.40973,1.40449,0.77403,0.61275,0.68864,0.3613,1.58009,4.9733,1.54683,0.0099505,0.0099505,0.0099505
12,304.603,1.42537,1.39502,1.38958,0.55275,0.43627,0.44034,0.20884,1.78998,6.95514,1.71427,0.00994555,0.00994555,0.00994555
13,328.29,1.38844,1.3208,1.36993,0.65202,0.77941,0.76561,0.43923,1.31802,4.30833,1.27185,0.0099406,0.0099406,0.0099406
14,352.515,1.38753,1.2953,1.35162,0.70384,0.7402,0.76381,0.41963,1.3514,5.54176,1.33156,0.00993565,0.00993565,0.00993565
15,376.052,1.37075,1.33483,1.32925,0.75873,0.67827,0.76009,0.4508,1.31305,4.83337,1.29624,0.0099307,0.0099307,0.0099307
16,400.372,1.37624,1.22814,1.35971,0.85348,0.45588,0.65143,0.3541,1.57515,2.60083,1.60898,0.00992575,0.00992575,0.00992575
17,423.889,1.36301,1.24424,1.33382,0.72103,0.77941,0.8058,0.45517,1.32643,7.16957,1.28144,0.0099208,0.0099208,0.0099208
18,448.163,1.38462,1.25088,1.34281,0.82726,0.72775,0.83879,0.48278,1.42157,2.95527,1.36148,0.00991585,0.00991585,0.00991585
19,472.538,1.35303,1.26757,1.33952,0.68627,0.70772,0.7488,0.40016,1.41293,3.44883,1.32638,0.0099109,0.0099109,0.0099109
20,496.3,1.35693,1.26526,1.33362,0.68669,0.65538,0.67625,0.34368,1.51844,4.09759,1.5194,0.00990595,0.00990595,0.00990595
21,519.874,1.37194,1.24363,1.34997,0.82432,0.70098,0.83465,0.47751,1.39403,5.42128,1.31444,0.009901,0.009901,0.009901
22,543.549,1.34302,1.23647,1.34601,0.77989,0.70588,0.7874,0.41788,1.47706,5.85636,1.4303,0.00989605,0.00989605,0.00989605
23,567.168,1.32554,1.20152,1.32958,0.69439,0.71569,0.74499,0.36969,1.60881,5.77006,1.44339,0.0098911,0.0098911,0.0098911
24,590.933,1.32491,1.16949,1.33661,0.78869,0.70098,0.81684,0.48633,1.34281,5.97477,1.25715,0.00988615,0.00988615,0.00988615
25,615.255,1.29238,1.13231,1.2873,0.78169,0.7402,0.83084,0.4737,1.32796,4.6024,1.23722,0.0098812,0.0098812,0.0098812
26,638.852,1.3021,1.12092,1.29458,0.72848,0.76281,0.8129,0.48313,1.25494,2.46773,1.21731,0.00987625,0.00987625,0.00987625
27,662.476,1.31326,1.1347,1.30772,0.6961,0.70738,0.76037,0.41975,1.2912,13.3933,1.25076,0.0098713,0.0098713,0.0098713
28,686.111,1.27608,1.08824,1.27385,0.78445,0.66176,0.78701,0.44072,1.34173,2.10074,1.2531,0.00986635,0.00986635,0.00986635
29,709.73,1.27922,1.13288,1.29149,0.72366,0.80873,0.82973,0.45617,1.24522,2.43365,1.20238,0.0098614,0.0098614,0.0098614
30,733.381,1.29827,1.15481,1.29421,0.77646,0.76471,0.8287,0.4886,1.26999,3.2966,1.20098,0.00985645,0.00985645,0.00985645
31,757.679,1.30617,1.1349,1.28436,0.83159,0.71078,0.82734,0.49578,1.26614,3.94558,1.23826,0.0098515,0.0098515,0.0098515
32,782.078,1.25852,1.03602,1.28409,0.69898,0.69118,0.7411,0.43408,1.38106,2.3764,1.32569,0.00984655,0.00984655,0.00984655
33,805.74,1.25881,1.0447,1.24919,0.78171,0.78431,0.84872,0.49952,1.2832,2.29806,1.24329,0.0098416,0.0098416,0.0098416
34,830.029,1.25441,1.0753,1.25461,0.74074,0.77032,0.80623,0.46156,1.41044,5.47821,1.28766,0.00983665,0.00983665,0.00983665
35,853.736,1.23919,1.02585,1.25278,0.82103,0.76458,0.83411,0.49797,1.22776,4.44807,1.1753,0.0098317,0.0098317,0.0098317
36,877.368,1.27371,1.04544,1.26062,0.74656,0.7598,0.81496,0.48953,1.36416,1.94116,1.27405,0.00982675,0.00982675,0.00982675
37,901.171,1.23179,1.05635,1.25122,0.87043,0.7245,0.8458,0.50318,1.20395,2.89985,1.19018,0.0098218,0.0098218,0.0098218
38,925.476,1.18503,0.98024,1.22141,0.80798,0.67647,0.79474,0.46677,1.353,2.54311,1.29348,0.00981685,0.00981685,0.00981685
39,949.087,1.23392,1.05076,1.24899,0.76821,0.76358,0.82252,0.47496,1.3068,6.42598,1.23843,0.0098119,0.0098119,0.0098119
40,972.791,1.22289,1.01038,1.23337,0.83548,0.72059,0.83199,0.48494,1.25897,2.67964,1.21408,0.00980695,0.00980695,0.00980695
41,996.444,1.22181,1.04746,1.25071,0.80143,0.77161,0.81941,0.46652,1.19844,2.42275,1.23654,0.009802,0.009802,0.009802
42,1020.64,1.21352,1.0092,1.23013,0.75437,0.82843,0.84241,0.50167,1.3075,3.65111,1.23491,0.00979705,0.00979705,0.00979705
43,1044.26,1.19047,0.97716,1.21522,0.71412,0.82041,0.83777,0.49407,1.28887,4.03428,1.25424,0.0097921,0.0097921,0.0097921
44,1067.57,1.17126,0.99497,1.21862,0.78704,0.78431,0.83933,0.48252,1.29943,3.04931,1.24122,0.00978715,0.00978715,0.00978715
45,1092.01,1.18413,0.96611,1.21413,0.7273,0.78441,0.80107,0.46328,1.34399,3.67069,1.25232,0.0097822,0.0097822,0.0097822
46,1115.74,1.14653,0.96305,1.19315,0.78617,0.79902,0.85082,0.48953,1.37189,4.74013,1.32023,0.00977725,0.00977725,0.00977725
47,1140.24,1.20179,1.02411,1.2317,0.79858,0.71569,0.82044,0.49283,1.27934,2.52844,1.26406,0.0097723,0.0097723,0.0097723
48,1163.55,1.18395,0.96702,1.22201,0.76992,0.7451,0.81263,0.47249,1.33466,2.71402,1.26829,0.00976735,0.00976735,0.00976735
