epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2668,0.36828,0.30686,0.87265,0.59748,0.5582,0.61762,0.47893,0.78543,2.23096,1.0984,0.00326923,0.00326923,0.00326923
2,38.4373,0.37709,0.33033,0.87184,0.63023,0.52258,0.59077,0.4697,0.79299,1.95915,1.12146,0.00659603,0.00659603,0.00659603
3,48.1831,0.43399,0.36013,0.88219,0.58149,0.57157,0.58448,0.45809,0.80522,3.55534,1.12528,0.00991622,0.00991622,0.00991622
4,57.9687,0.45569,0.37129,0.8923,0.68089,0.49611,0.59577,0.45626,0.83296,5.14345,1.09169,0.0099703,0.0099703,0.0099703
5,67.8842,0.46719,0.3908,0.89569,0.62005,0.52936,0.55751,0.42432,0.84133,2.85772,1.1192,0.0099604,0.0099604,0.0099604
6,77.8261,0.49031,0.40019,0.9015,0.67718,0.44137,0.55609,0.41436,0.86663,2.79857,1.15928,0.0099505,0.0099505,0.0099505
7,87.697,0.50448,0.42048,0.90975,0.62717,0.51664,0.56544,0.42481,0.84203,3.15784,1.12176,0.0099406,0.0099406,0.0099406
8,97.6564,0.5223,0.45277,0.92324,0.71048,0.48302,0.60309,0.43564,0.86351,1.8244,1.10057,0.0099307,0.0099307,0.0099307
9,107.583,0.50809,0.43179,0.91266,0.68656,0.48429,0.57664,0.43153,0.85071,3.33351,1.08962,0.0099208,0.0099208,0.0099208
10,117.525,0.55405,0.48088,0.94039,0.56892,0.53796,0.55378,0.40449,0.88222,1.74002,1.12058,0.0099109,0.0099109,0.0099109
11,127.423,0.53433,0.46462,0.92338,0.59124,0.5429,0.57876,0.42111,0.88001,3.83109,1.11456,0.009901,0.009901,0.009901
12,137.475,0.5156,0.46206,0.92013,0.5772,0.549,0.56658,0.42026,0.85933,4.72579,1.07505,0.0098911,0.0098911,0.0098911
