epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1665.65,0.62504,0.47689,0.95954,0.89074,0.83921,0.88397,0.56804,1.34544,1.92837,1.39815,0.00979705,0.00979705,0.00979705
43,1701.97,0.64162,0.49745,0.96937,0.83179,0.75143,0.83752,0.51339,1.38695,1.13385,1.47619,0.0097921,0.0097921,0.0097921
44,1738.5,0.66165,0.53595,0.9861,0.87946,0.83824,0.88366,0.56264,1.30916,1.50946,1.39597,0.00978715,0.00978715,0.00978715
45,1775.07,0.63673,0.4993,0.97467,0.7688,0.88235,0.86159,0.52986,1.35958,2.24394,1.40079,0.0097822,0.0097822,0.0097822
46,1811.17,0.64036,0.48782,0.97621,0.85529,0.77451,0.85781,0.56867,1.24491,2.11873,1.36832,0.00977725,0.00977725,0.00977725
47,1847.66,0.62519,0.48166,0.96873,0.77692,0.80239,0.8102,0.51521,1.22544,2.33488,1.33821,0.0097723,0.0097723,0.0097723
48,1884.19,0.63836,0.48554,0.97716,0.83353,0.80882,0.87606,0.56311,1.27019,2.09052,1.35506,0.00976735,0.00976735,0.00976735
49,1920.6,0.63843,0.49247,0.97519,0.80152,0.81162,0.83472,0.5485,1.38018,2.45343,1.3863,0.0097624,0.0097624,0.0097624
50,1957.11,0.65091,0.49283,0.97876,0.76136,0.82843,0.83098,0.55061,1.2839,3.68828,1.35414,0.00975745,0.00975745,0.00975745
51,1993.62,0.63577,0.47831,0.95818,0.80742,0.80152,0.82098,0.53197,1.3449,2.96634,1.42011,0.0097525,0.0097525,0.0097525
52,2029.99,0.62843,0.45914,0.95962,0.86414,0.77946,0.86252,0.55769,1.48887,2.30993,1.5481,0.00974755,0.00974755,0.00974755
53,2066.73,0.63646,0.47774,0.96741,0.82173,0.74565,0.84025,0.5386,1.31616,1.79825,1.41702,0.0097426,0.0097426,0.0097426
54,2103.16,0.62687,0.49232,0.95469,0.7954,0.79902,0.84111,0.54407,1.23664,2.40571,1.32904,0.00973765,0.00973765,0.00973765
55,2139.57,0.64367,0.50832,0.97502,0.8105,0.78922,0.83015,0.52868,1.33626,2.03099,1.38344,0.0097327,0.0097327,0.0097327
56,2175.83,0.64117,0.49269,0.97584,0.78096,0.80392,0.82767,0.51604,1.42087,3.62477,1.48513,0.00972775,0.00972775,0.00972775
57,2212.35,0.6107,0.46815,0.95165,0.75845,0.87731,0.86707,0.55603,1.3291,1.68941,1.43121,0.0097228,0.0097228,0.0097228
58,2248.72,0.63208,0.48596,0.96347,0.87133,0.78922,0.85111,0.52706,1.32584,2.04691,1.42505,0.00971785,0.00971785,0.00971785
59,2284.85,0.63657,0.47331,0.96472,0.86892,0.77451,0.85441,0.54046,1.22262,1.3774,1.30625,0.0097129,0.0097129,0.0097129
60,2321.22,0.63093,0.48442,0.96064,0.85769,0.79766,0.87477,0.54649,1.31781,1.39968,1.33189,0.00970795,0.00970795,0.00970795
61,2357.72,0.65031,0.4941,0.97119,0.78372,0.81712,0.83773,0.53605,1.31453,2.3,1.35669,0.009703,0.009703,0.009703
62,2394.04,0.64676,0.48024,0.97722,0.83994,0.78431,0.81876,0.53156,1.24608,2.10961,1.35386,0.00969805,0.00969805,0.00969805
63,2430.73,0.6222,0.46766,0.95353,0.8652,0.75,0.84577,0.54799,1.27588,1.01066,1.37559,0.0096931,0.0096931,0.0096931
64,2467.22,0.59031,0.45014,0.93057,0.89865,0.73889,0.83994,0.53589,1.35792,1.47439,1.43549,0.00968815,0.00968815,0.00968815
65,2503.99,0.62488,0.47372,0.9654,0.8698,0.78593,0.8654,0.55587,1.3402,1.87793,1.4522,0.0096832,0.0096832,0.0096832
66,2540.46,0.63038,0.49252,0.97827,0.79329,0.77941,0.82855,0.52728,1.27117,1.60092,1.33401,0.00967825,0.00967825,0.00967825
67,2576.84,0.64044,0.48688,0.96721,0.87279,0.7451,0.83076,0.51833,1.39822,1.4906,1.43212,0.0096733,0.0096733,0.0096733
68,2613.22,0.61259,0.46632,0.94986,0.84061,0.82353,0.87018,0.55016,1.32568,3.13098,1.42394,0.00966835,0.00966835,0.00966835
69,2649.74,0.62482,0.47296,0.96387,0.90455,0.78971,0.86206,0.55889,1.42219,2.55805,1.46201,0.0096634,0.0096634,0.0096634
70,2686.12,0.60974,0.46412,0.95396,0.75132,0.88858,0.88568,0.57308,1.26432,2.53366,1.40597,0.00965845,0.00965845,0.00965845
71,2722.42,0.59343,0.46477,0.94923,0.81932,0.82843,0.87962,0.57726,1.21646,1.91731,1.32446,0.0096535,0.0096535,0.0096535
72,2758.9,0.62824,0.48801,0.96148,0.86461,0.78261,0.85894,0.55767,1.24653,1.6456,1.36492,0.00964855,0.00964855,0.00964855
73,2795.34,0.64863,0.50103,0.9812,0.87341,0.77791,0.85457,0.54984,1.38434,1.61143,1.46524,0.0096436,0.0096436,0.0096436
74,2831.54,0.61537,0.4628,0.95049,0.82426,0.81373,0.85236,0.54308,1.35316,1.56661,1.42919,0.00963865,0.00963865,0.00963865
75,2868.02,0.59164,0.45764,0.95185,0.83072,0.82843,0.85785,0.56016,1.33562,1.25887,1.38238,0.0096337,0.0096337,0.0096337
76,2904.41,0.63392,0.49341,0.96783,0.84316,0.78431,0.86585,0.53951,1.46589,2.37355,1.49503,0.00962875,0.00962875,0.00962875
77,2941.11,0.62321,0.46947,0.96039,0.83413,0.78922,0.83921,0.55117,1.24364,2.56424,1.34682,0.0096238,0.0096238,0.0096238
78,2977.78,0.63255,0.46877,0.96747,0.87591,0.76122,0.83456,0.52963,1.22912,1.15844,1.33867,0.00961885,0.00961885,0.00961885
79,3014.13,0.6168,0.46691,0.9667,0.8636,0.77593,0.84864,0.54154,1.2309,1.30169,1.35277,0.0096139,0.0096139,0.0096139
80,3050.65,0.60346,0.45478,0.9498,0.86036,0.75509,0.84081,0.54635,1.40034,1.24845,1.41427,0.00960895,0.00960895,0.00960895
81,3087.08,0.60532,0.44228,0.95743,0.80513,0.81863,0.81972,0.52854,1.36738,3.03501,1.45248,0.009604,0.009604,0.009604
82,3123.17,0.59379,0.47088,0.95261,0.80989,0.72059,0.80372,0.50179,1.50962,1.48276,1.63213,0.00959905,0.00959905,0.00959905
83,3159.73,0.59496,0.44729,0.94273,0.7876,0.76343,0.82421,0.52271,1.37083,1.57869,1.40888,0.0095941,0.0095941,0.0095941
84,3196.25,0.61478,0.47413,0.95648,0.79186,0.84804,0.86739,0.53869,1.29007,2.4574,1.38547,0.00958915,0.00958915,0.00958915
85,3232.84,0.59624,0.46943,0.9522,0.82256,0.80882,0.84675,0.52251,1.4633,2.70827,1.53255,0.0095842,0.0095842,0.0095842
86,3269.1,0.59139,0.4404,0.94772,0.85925,0.74812,0.84126,0.54724,1.35185,1.22608,1.37932,0.00957925,0.00957925,0.00957925
87,3305.49,0.61031,0.44861,0.95513,0.84382,0.82105,0.86645,0.54487,1.39234,2.37487,1.39477,0.0095743,0.0095743,0.0095743
88,3342.03,0.60389,0.46973,0.95508,0.86463,0.73529,0.82109,0.50564,1.41384,1.51349,1.40495,0.00956935,0.00956935,0.00956935
