epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
75,190.917,0.23487,0.78226,1,0.83801,0.0092674,0.0092674,0.0092674
76,193.4,0.22539,0.73387,0.99194,1.12146,0.0092575,0.0092575,0.0092575
77,195.885,0.19698,0.70161,0.99194,1.27808,0.0092476,0.0092476,0.0092476
78,198.386,0.27385,0.77419,1,0.83923,0.0092377,0.0092377,0.0092377
79,200.934,0.20359,0.75,0.99194,1.00635,0.0092278,0.0092278,0.0092278
80,203.467,0.17493,0.72581,0.99194,1.06317,0.0092179,0.0092179,0.0092179
81,206,0.19704,0.77419,0.98387,1.31445,0.009208,0.009208,0.009208
82,208.518,0.19509,0.72581,1,1.15491,0.0091981,0.0091981,0.0091981
83,211.005,0.19585,0.78226,1,0.94275,0.0091882,0.0091882,0.0091882
84,213.509,0.25012,0.78226,0.99194,1.00305,0.0091783,0.0091783,0.0091783
85,216.036,0.22615,0.79032,1,0.89673,0.0091684,0.0091684,0.0091684
86,218.58,0.23949,0.77419,1,1.02307,0.0091585,0.0091585,0.0091585
87,221.137,0.21387,0.77419,1,0.99634,0.0091486,0.0091486,0.0091486
88,223.601,0.1894,0.75806,1,0.91797,0.0091387,0.0091387,0.0091387
89,226.156,0.21741,0.74194,0.99194,0.91382,0.0091288,0.0091288,0.0091288
90,228.701,0.22329,0.79032,1,0.81921,0.0091189,0.0091189,0.0091189
91,231.237,0.17168,0.72581,0.99194,1.19031,0.009109,0.009109,0.009109
92,233.718,0.18805,0.79839,1,0.78943,0.0090991,0.0090991,0.0090991
93,236.225,0.19219,0.79839,1,0.91479,0.0090892,0.0090892,0.0090892
94,238.701,0.17765,0.76613,1,1.02344,0.0090793,0.0090793,0.0090793
95,241.202,0.18246,0.81452,1,0.84814,0.0090694,0.0090694,0.0090694
96,243.772,0.17502,0.82258,1,0.88422,0.0090595,0.0090595,0.0090595
97,246.284,0.19949,0.79032,0.99194,0.82513,0.0090496,0.0090496,0.0090496
98,248.801,0.15378,0.75806,1,1.08069,0.0090397,0.0090397,0.0090397
99,251.302,0.18079,0.79032,1,0.86316,0.0090298,0.0090298,0.0090298
100,253.805,0.19218,0.77419,1,0.8125,0.0090199,0.0090199,0.0090199
101,256.322,0.15354,0.79839,1,0.80579,0.00901,0.00901,0.00901
102,258.836,0.18097,0.74194,0.99194,1.19177,0.0090001,0.0090001,0.0090001
103,261.402,0.1864,0.76613,0.98387,0.88586,0.0089902,0.0089902,0.0089902
104,263.934,0.20029,0.66129,0.99194,1.23157,0.0089803,0.0089803,0.0089803
105,266.452,0.18882,0.75806,1,0.84839,0.0089704,0.0089704,0.0089704
106,268.954,0.16475,0.76613,1,0.85925,0.0089605,0.0089605,0.0089605
107,271.472,0.19157,0.72581,1,1.16614,0.0089506,0.0089506,0.0089506
108,273.955,0.20763,0.77419,1,1.02771,0.0089407,0.0089407,0.0089407
