epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4741,0.31329,0.27176,0.85642,0.59496,0.56559,0.61995,0.47753,0.78677,2.39383,1.10808,0.00326923,0.00326923,0.00326923
2,45.9112,0.37858,0.33237,0.87174,0.62331,0.52405,0.58978,0.47074,0.79514,2.78264,1.11186,0.00659603,0.00659603,0.00659603
3,55.5124,0.43322,0.36365,0.88329,0.56133,0.54423,0.5785,0.44495,0.82511,3.57926,1.14165,0.00991622,0.00991622,0.00991622
4,65.0767,0.45313,0.37027,0.89006,0.66676,0.50251,0.56883,0.43487,0.84568,4.45429,1.11683,0.0099703,0.0099703,0.0099703
5,74.8911,0.46994,0.39856,0.89513,0.63428,0.47585,0.55496,0.43125,0.84864,1.53213,1.13146,0.0099604,0.0099604,0.0099604
6,85.0583,0.49126,0.4158,0.90217,0.63227,0.42311,0.46305,0.32272,1.00273,1.7563,1.29516,0.0099505,0.0099505,0.0099505
7,94.9306,0.50526,0.43084,0.91117,0.57308,0.51227,0.56317,0.41776,0.84029,2.5735,1.11394,0.0099406,0.0099406,0.0099406
8,104.564,0.5102,0.44583,0.91756,0.63307,0.521,0.56874,0.42284,0.89523,2.88546,1.14484,0.0099307,0.0099307,0.0099307
9,114.328,0.51389,0.44019,0.9182,0.55305,0.54204,0.56683,0.43632,0.82871,3.80036,1.07674,0.0099208,0.0099208,0.0099208
10,124.179,0.54875,0.46266,0.93434,0.6642,0.48162,0.56619,0.42108,0.85251,2.19172,1.09941,0.0099109,0.0099109,0.0099109
11,133.907,0.53845,0.462,0.92234,0.68422,0.47543,0.54341,0.39682,0.88725,2.89261,1.14781,0.009901,0.009901,0.009901
12,143.61,0.50893,0.43152,0.91786,0.6559,0.47554,0.5634,0.40958,0.87639,5.00074,1.14614,0.0098911,0.0098911,0.0098911
13,153.427,0.54692,0.4683,0.9271,0.66217,0.48244,0.56287,0.41203,0.83237,3.08788,1.0747,0.0098812,0.0098812,0.0098812
14,163.19,0.54978,0.48486,0.91639,0.49211,0.5264,0.50063,0.36682,0.87221,2.92599,1.09671,0.0098713,0.0098713,0.0098713
15,172.992,0.53817,0.45324,0.92766,0.62968,0.46582,0.53151,0.40062,0.82497,3.86495,1.1035,0.0098614,0.0098614,0.0098614
16,182.739,0.53429,0.45887,0.92141,0.56897,0.52553,0.54576,0.41422,0.8485,2.54038,1.10976,0.0098515,0.0098515,0.0098515
17,192.473,0.54504,0.49357,0.9198,0.62649,0.54546,0.56331,0.40755,0.89524,2.8674,1.13684,0.0098416,0.0098416,0.0098416
18,202.226,0.5364,0.45371,0.91574,0.69337,0.45139,0.53686,0.40438,0.86495,3.56542,1.10818,0.0098317,0.0098317,0.0098317
19,212.073,0.54463,0.47494,0.90905,0.67847,0.41872,0.53468,0.40291,0.85145,4.32361,1.10136,0.0098218,0.0098218,0.0098218
20,221.907,0.53047,0.4546,0.91216,0.6083,0.47597,0.51642,0.38538,0.84314,1.80874,1.08054,0.0098119,0.0098119,0.0098119
21,231.712,0.56331,0.48182,0.94328,0.59683,0.484,0.49968,0.37742,0.88202,2.7948,1.1142,0.009802,0.009802,0.009802
22,241.723,0.5658,0.47505,0.93689,0.51012,0.5346,0.51764,0.36834,0.91175,3.42253,1.1543,0.0097921,0.0097921,0.0097921
23,251.593,0.53553,0.45618,0.91407,0.50951,0.48806,0.502,0.36166,0.88991,3.72882,1.16816,0.0097822,0.0097822,0.0097822
24,261.376,0.54436,0.45051,0.91705,0.55834,0.47423,0.50458,0.37286,0.91629,3.44973,1.16879,0.0097723,0.0097723,0.0097723
25,271.106,0.56818,0.51391,0.94075,0.6569,0.45613,0.54116,0.39819,0.89258,1.61475,1.14187,0.0097624,0.0097624,0.0097624
26,280.909,0.55407,0.48329,0.93191,0.52948,0.52799,0.48402,0.36166,0.88699,4.29508,1.11601,0.0097525,0.0097525,0.0097525
27,290.693,0.54657,0.45258,0.91128,0.56847,0.51538,0.52827,0.39306,0.94358,2.04907,1.15266,0.0097426,0.0097426,0.0097426
28,300.491,0.56,0.47025,0.9221,0.57578,0.48402,0.54634,0.39681,0.91586,3.0228,1.15225,0.0097327,0.0097327,0.0097327
29,310.325,0.54067,0.45974,0.91806,0.491,0.56184,0.53427,0.39168,0.88838,3.8758,1.13837,0.0097228,0.0097228,0.0097228
30,320.145,0.55425,0.46811,0.91448,0.49885,0.55873,0.52828,0.39867,0.88844,3.49075,1.12586,0.0097129,0.0097129,0.0097129
31,329.909,0.58016,0.50993,0.93997,0.57404,0.51296,0.53216,0.37544,0.87339,3.508,1.14526,0.009703,0.009703,0.009703
32,339.725,0.5419,0.4739,0.92296,0.59829,0.49652,0.53508,0.37591,0.92556,4.20627,1.18212,0.0096931,0.0096931,0.0096931
33,349.539,0.54831,0.46695,0.92076,0.53015,0.53898,0.51724,0.38146,0.89696,2.94511,1.18219,0.0096832,0.0096832,0.0096832
34,359.343,0.54508,0.47036,0.93402,0.52796,0.55861,0.55089,0.40798,0.87666,3.31453,1.16557,0.0096733,0.0096733,0.0096733
35,369.112,0.56582,0.46346,0.93047,0.66587,0.45436,0.55827,0.42115,0.85268,2.73277,1.10336,0.0096634,0.0096634,0.0096634
36,378.907,0.54176,0.46305,0.91665,0.53312,0.53584,0.55974,0.41176,0.89086,2.50445,1.1448,0.0096535,0.0096535,0.0096535
37,388.725,0.55865,0.48265,0.92414,0.54398,0.50617,0.52106,0.38289,0.89735,3.38073,1.15193,0.0096436,0.0096436,0.0096436
38,398.557,0.56076,0.48892,0.93974,0.55605,0.46946,0.49756,0.37057,0.90011,3.20811,1.13516,0.0096337,0.0096337,0.0096337
39,408.391,0.55624,0.48321,0.9335,0.68046,0.44249,0.51249,0.353,1.00778,2.39241,1.2451,0.0096238,0.0096238,0.0096238
40,418.225,0.55137,0.46187,0.92856,0.59306,0.45503,0.4845,0.34904,0.92636,2.69293,1.17662,0.0096139,0.0096139,0.0096139
41,428.072,0.5451,0.45987,0.92247,0.54504,0.4987,0.50662,0.35983,0.9285,5.63276,1.18631,0.009604,0.009604,0.009604
42,437.838,0.52671,0.46569,0.90895,0.49693,0.50848,0.50854,0.37717,0.89356,6.08079,1.16954,0.0095941,0.0095941,0.0095941
43,447.657,0.52268,0.45461,0.9156,0.54313,0.5013,0.52351,0.39045,0.90124,4.87736,1.15495,0.0095842,0.0095842,0.0095842
44,457.475,0.56337,0.48047,0.93776,0.53431,0.50998,0.52392,0.37587,0.92615,3.56685,1.16452,0.0095743,0.0095743,0.0095743
45,467.269,0.532,0.4437,0.91016,0.54413,0.49754,0.55137,0.4189,0.89483,4.72309,1.12968,0.0095644,0.0095644,0.0095644
