epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,795.954,0.70611,0.71948,0.99692,0.46052,0.63556,0.52414,0.39113,0.78175,7.42104,0.99203,0.000660045,0.000660045,0.000660045
43,814.211,0.7013,0.6981,1.01091,0.6222,0.48995,0.56164,0.42646,0.78257,5.04611,0.99877,0.000649046,0.000649046,0.000649046
44,833.32,0.72204,0.74121,1.01736,0.6329,0.5102,0.51998,0.38733,0.80081,2.80315,0.98942,0.000638047,0.000638047,0.000638047
45,851.63,0.69907,0.65917,0.99342,0.62183,0.48782,0.53707,0.40078,0.7981,6.25195,0.99075,0.000627048,0.000627048,0.000627048
46,869.77,0.71673,0.69313,1.01612,0.59877,0.45437,0.52241,0.39444,0.78951,5.3769,0.98547,0.000616049,0.000616049,0.000616049
47,888.059,0.69623,0.70241,0.99024,0.63705,0.49839,0.56193,0.41794,0.77732,3.73389,0.97255,0.000605051,0.000605051,0.000605051
48,906.316,0.67901,0.69103,0.99069,0.47092,0.57213,0.54606,0.40184,0.76796,5.62859,1.00017,0.000594052,0.000594052,0.000594052
49,924.582,0.66331,0.66913,0.98385,0.50922,0.59493,0.54322,0.40248,0.79601,5.09767,1.00197,0.000583053,0.000583053,0.000583053
50,942.846,0.67066,0.6571,1.00262,0.51757,0.56291,0.52864,0.40435,0.77556,6.66055,0.99239,0.000572054,0.000572054,0.000572054
51,961.246,0.64873,0.63839,0.98783,0.59793,0.52989,0.53823,0.3986,0.80239,5.02724,0.99675,0.000561055,0.000561055,0.000561055
52,979.519,0.67505,0.64573,0.99257,0.63848,0.47082,0.53955,0.40526,0.80171,2.89733,0.98738,0.000550056,0.000550056,0.000550056
53,997.814,0.65116,0.61939,0.9835,0.57395,0.554,0.53644,0.40957,0.80009,2.67463,1.00472,0.000539057,0.000539057,0.000539057
54,1016.12,0.64162,0.60068,0.97299,0.56833,0.5191,0.54396,0.41825,0.75174,2.65138,0.96739,0.000528058,0.000528058,0.000528058
55,1034.46,0.64754,0.63281,0.97781,0.61513,0.49799,0.52668,0.40233,0.8052,3.06622,0.9838,0.000517059,0.000517059,0.000517059
56,1052.73,0.63492,0.64372,0.97604,0.55988,0.60011,0.52264,0.3972,0.79095,2.85717,0.98233,0.00050606,0.00050606,0.00050606
57,1071.01,0.62757,0.63625,0.97633,0.4876,0.57303,0.53188,0.40479,0.80335,3.64956,0.98459,0.000495062,0.000495062,0.000495062
58,1089.25,0.62158,0.61307,0.96771,0.50848,0.53745,0.51146,0.39613,0.81896,3.3461,1.01767,0.000484063,0.000484063,0.000484063
59,1107.63,0.63178,0.59744,0.97651,0.52806,0.52302,0.5162,0.39575,0.78229,3.16364,0.96283,0.000473064,0.000473064,0.000473064
60,1125.85,0.62077,0.57045,0.97389,0.59185,0.55012,0.54158,0.42545,0.76774,2.76705,0.96435,0.000462065,0.000462065,0.000462065
61,1144.17,0.5991,0.5748,0.9603,0.54132,0.53062,0.53947,0.41041,0.75835,3.95597,0.9937,0.000451066,0.000451066,0.000451066
62,1162.49,0.57341,0.55986,0.94084,0.50156,0.59965,0.55094,0.42456,0.78003,3.42506,1.03141,0.000440067,0.000440067,0.000440067
63,1180.82,0.61289,0.56592,0.98285,0.60614,0.52223,0.56463,0.43409,0.77225,3.5589,1.00606,0.000429068,0.000429068,0.000429068
64,1199.87,0.56387,0.50825,0.94322,0.49393,0.65471,0.55404,0.43732,0.75123,2.38209,0.99394,0.000418069,0.000418069,0.000418069
65,1219.12,0.59916,0.54568,0.96125,0.56021,0.55693,0.577,0.43994,0.75955,2.74229,0.986,0.00040707,0.00040707,0.00040707
66,1238.48,0.60039,0.54516,0.96504,0.52688,0.59753,0.5702,0.43889,0.75071,2.5943,0.99512,0.000396071,0.000396071,0.000396071
67,1256.73,0.56856,0.5355,0.93991,0.52914,0.59715,0.571,0.44416,0.7577,3.02584,0.98696,0.000385073,0.000385073,0.000385073
68,1275.87,0.55042,0.51388,0.93769,0.48377,0.5991,0.56205,0.44232,0.75217,3.36831,1.00073,0.000374074,0.000374074,0.000374074
69,1294.2,0.55053,0.4904,0.91867,0.56711,0.51146,0.56455,0.44378,0.73975,4.39748,0.97439,0.000363075,0.000363075,0.000363075
70,1312.37,0.56972,0.52254,0.94812,0.55814,0.61534,0.57543,0.45685,0.72179,3.56641,0.9623,0.000352076,0.000352076,0.000352076
71,1331.63,0.55794,0.50637,0.94339,0.59817,0.51261,0.56457,0.44604,0.741,2.19275,0.9578,0.000341077,0.000341077,0.000341077
72,1350.02,0.54522,0.50313,0.93697,0.55169,0.53772,0.56981,0.44916,0.74539,3.79134,0.95597,0.000330078,0.000330078,0.000330078
73,1368.27,0.54524,0.48552,0.93241,0.69608,0.4529,0.57313,0.4454,0.7496,3.19828,0.98119,0.000319079,0.000319079,0.000319079
74,1386.49,0.56021,0.50708,0.94295,0.67487,0.51696,0.57154,0.45081,0.71994,2.85663,0.96712,0.00030808,0.00030808,0.00030808
75,1404.79,0.52804,0.48232,0.92974,0.60673,0.55309,0.57337,0.4566,0.71458,2.7843,0.96815,0.000297081,0.000297081,0.000297081
76,1423.04,0.52696,0.47939,0.9383,0.62542,0.52386,0.56683,0.44495,0.71779,2.59823,0.97038,0.000286083,0.000286083,0.000286083
77,1441.35,0.50717,0.45928,0.92281,0.57466,0.59402,0.55679,0.44008,0.72615,3.63392,0.97376,0.000275084,0.000275084,0.000275084
78,1459.58,0.5072,0.433,0.90643,0.56299,0.59269,0.5627,0.44709,0.73845,2.36027,0.97235,0.000264085,0.000264085,0.000264085
79,1477.88,0.52701,0.48159,0.93,0.55951,0.59874,0.55878,0.44028,0.73187,2.05124,0.96841,0.000253086,0.000253086,0.000253086
80,1496.13,0.51864,0.46859,0.93353,0.63394,0.50205,0.56703,0.44373,0.7523,2.4656,0.98104,0.000242087,0.000242087,0.000242087
81,1514.44,0.49016,0.44284,0.91784,0.53735,0.62129,0.56877,0.4403,0.73113,4.64887,0.99469,0.000231088,0.000231088,0.000231088
82,1532.69,0.49598,0.44096,0.90974,0.60909,0.54447,0.56208,0.44383,0.73461,2.43938,0.98236,0.000220089,0.000220089,0.000220089
83,1551.09,0.50951,0.43301,0.92297,0.52896,0.57233,0.58292,0.46295,0.72058,3.58807,0.96386,0.00020909,0.00020909,0.00020909
84,1570.15,0.46855,0.42447,0.91112,0.55571,0.56208,0.56631,0.45022,0.72444,2.63034,0.96717,0.000198091,0.000198091,0.000198091
85,1588.51,0.4881,0.43451,0.91938,0.52916,0.56983,0.55707,0.44665,0.7036,2.13361,0.95502,0.000187092,0.000187092,0.000187092
86,1606.87,0.50009,0.44327,0.92013,0.56825,0.56123,0.57653,0.45392,0.73284,3.90172,0.98225,0.000176094,0.000176094,0.000176094
87,1625.16,0.4833,0.43322,0.92654,0.58629,0.55312,0.57483,0.45661,0.73484,2.9061,0.97808,0.000165095,0.000165095,0.000165095
88,1643.36,0.49979,0.43315,0.92304,0.62784,0.56139,0.57674,0.46155,0.71939,2.35405,0.97551,0.000154096,0.000154096,0.000154096
89,1661.62,0.4763,0.42183,0.90787,0.7281,0.47018,0.58193,0.4652,0.71877,2.32595,0.98406,0.000143097,0.000143097,0.000143097
90,1680.65,0.47159,0.42147,0.9068,0.68088,0.4807,0.5812,0.46175,0.70852,2.96427,0.96785,0.000132098,0.000132098,0.000132098
91,1714.29,0.38935,0.27642,0.87079,0.611,0.53018,0.58095,0.45551,0.71856,3.03008,0.99438,0.000121099,0.000121099,0.000121099
92,1732.07,0.39155,0.27878,0.86019,0.55231,0.60877,0.59301,0.46557,0.70825,3.19355,0.98245,0.0001101,0.0001101,0.0001101
93,1751.05,0.37752,0.26024,0.85714,0.55132,0.60509,0.58284,0.45876,0.70634,2.67604,0.97354,9.91012e-05,9.91012e-05,9.91012e-05
94,1769.1,0.37869,0.27344,0.85416,0.62829,0.58765,0.59238,0.46413,0.68858,2.51481,0.95891,8.81023e-05,8.81023e-05,8.81023e-05
95,1787.31,0.35049,0.24737,0.84527,0.58115,0.64372,0.59489,0.4715,0.68745,3.01837,0.96828,7.71034e-05,7.71034e-05,7.71034e-05
96,1806.29,0.35611,0.26442,0.84573,0.60161,0.63476,0.60348,0.47535,0.68318,4.01333,0.96704,6.61045e-05,6.61045e-05,6.61045e-05
97,1825.45,0.33486,0.25414,0.84194,0.57153,0.64739,0.60288,0.47194,0.68799,3.7833,0.97083,5.51056e-05,5.51056e-05,5.51056e-05
98,1843.66,0.33875,0.24506,0.83686,0.58043,0.61757,0.59557,0.46992,0.68207,3.64398,0.96864,4.41067e-05,4.41067e-05,4.41067e-05
99,1861.89,0.33561,0.24041,0.84275,0.58804,0.61609,0.59519,0.47607,0.67508,3.37427,0.95932,3.31078e-05,3.31078e-05,3.31078e-05
100,1880.09,0.3549,0.24516,0.84138,0.59221,0.63196,0.59155,0.46923,0.67681,3.7193,0.9619,2.21089e-05,2.21089e-05,2.21089e-05
