epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.206,1.4875,2.93938,1.56804,0.57774,0.66329,0.59815,0.3426,1.41464,4.45895,1.62359,0.00018,0.00018,0.00018
2,17.732,1.40282,1.54489,1.36583,0.68516,0.84178,0.83443,0.45307,1.536,2.83086,1.76503,0.000379624,0.000379624,0.000379624
3,23.9898,1.45395,1.52144,1.4049,0.35236,0.69777,0.50173,0.20809,1.98772,10.335,2.57281,0.000578852,0.000578852,0.000578852
4,29.1809,1.47721,1.17921,1.51435,0.49035,0.50913,0.48034,0.25529,1.65451,4.99608,2.30484,0.000777683,0.000777683,0.000777683
5,34.4696,1.38235,1.06582,1.39976,0.24719,0.78296,0.43456,0.18977,1.77423,9.48151,2.66995,0.000976119,0.000976119,0.000976119
6,39.7971,1.51244,1.2672,1.58679,0.01187,0.13793,0.00576,0.00203,4.6351,inf,21.8152,0.00117416,0.00117416,0.00117416
7,45.0807,1.4968,1.21392,1.52431,0.02897,0.33671,0.02024,0.00585,3.68083,inf,17.4359,0.0013718,0.0013718,0.0013718
8,50.3307,1.49233,1.12974,1.49471,0.29613,0.20892,0.14357,0.05488,2.95002,4.03213,7.96202,0.00156905,0.00156905,0.00156905
9,55.671,1.45863,1.04807,1.44238,0.24417,0.12982,0.08788,0.02747,3.63595,6.70346,10.0917,0.0017659,0.0017659,0.0017659
10,60.9317,1.4452,1.00325,1.44397,0.41846,0.29209,0.24592,0.08321,3.07138,5.30231,6.92524,0.00196236,0.00196236,0.00196236
11,66.1307,1.28296,3.36107,1.30661,0.02796,0.06085,0.00939,0.00262,4.59531,7.29216,25.4957,0.0019802,0.0019802,0.0019802
12,71.5107,1.40887,0.97969,1.40452,0.47832,0.41659,0.36671,0.16611,2.4318,9.59125,2.4169,0.00197822,0.00197822,0.00197822
13,76.7076,1.41615,0.99378,1.3892,0.42967,0.3712,0.28969,0.11966,3.04592,6.13386,2.92183,0.00197624,0.00197624,0.00197624
14,81.97,1.37059,0.94601,1.41925,0.18898,0.22921,0.10086,0.04648,3.22889,32.947,3.7861,0.00197426,0.00197426,0.00197426
15,87.2626,1.28173,5.29456,1.25469,0.52287,0.51927,0.50002,0.23698,1.96847,11.3081,2.16385,0.00197228,0.00197228,0.00197228
16,92.4968,1.3982,0.92315,1.37189,0.74377,0.70655,0.72775,0.35693,1.90901,2.31157,2.19138,0.0019703,0.0019703,0.0019703
17,97.6334,1.38384,0.93147,1.46938,0.70096,0.714,0.7574,0.37651,1.83171,2.23114,2.17365,0.00196832,0.00196832,0.00196832
18,102.921,1.37638,0.92426,1.38499,0.64969,0.67951,0.6871,0.32112,1.99268,3.69308,2.34849,0.00196634,0.00196634,0.00196634
19,108.095,1.42209,0.91267,1.45445,0.58138,0.69018,0.55981,0.27464,1.62602,2.41536,1.97674,0.00196436,0.00196436,0.00196436
20,113.293,1.37453,0.88476,1.39958,0.39818,0.24291,0.19829,0.07325,3.29373,11.4687,3.47831,0.00196238,0.00196238,0.00196238
21,118.514,1.27207,0.97673,1.39101,0.65533,0.60446,0.65708,0.33671,2.00614,4.52715,2.22884,0.0019604,0.0019604,0.0019604
22,123.705,1.31355,0.88152,1.40442,0.53951,0.31643,0.36532,0.1762,2.16886,17.136,2.2844,0.00195842,0.00195842,0.00195842
23,128.935,1.36063,1.41134,1.48877,0.72219,0.68763,0.73142,0.36476,1.90137,3.18189,2.15754,0.00195644,0.00195644,0.00195644
24,134.161,1.37646,0.95066,1.43327,0.76987,0.74645,0.83222,0.44492,1.64318,1.61701,1.95894,0.00195446,0.00195446,0.00195446
25,139.257,1.3672,0.90997,1.37,0.75271,0.79513,0.8469,0.45781,1.52593,2.40413,1.74405,0.00195248,0.00195248,0.00195248
26,145.398,1.34287,0.90356,1.36027,0.71417,0.75254,0.76126,0.41018,1.58314,1.85116,1.81218,0.0019505,0.0019505,0.0019505
27,150.658,1.38899,0.84614,1.41673,0.76118,0.79919,0.82378,0.44568,1.62255,2.1386,1.83949,0.00194852,0.00194852,0.00194852
28,155.851,1.29816,0.92652,1.39634,0.70563,0.72446,0.73756,0.40727,1.73731,1.98088,1.93798,0.00194654,0.00194654,0.00194654
29,160.915,1.26065,0.92962,1.37685,0.73434,0.74239,0.75593,0.41508,1.67001,2.25448,1.90403,0.00194456,0.00194456,0.00194456
30,166.262,1.29001,0.79582,1.33517,0.55924,0.64342,0.58572,0.30492,2.00341,5.38404,2.15067,0.00194258,0.00194258,0.00194258
