epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.37524,1.43571,0.80645,0.98387,0.84827,0.00328042,0.00328042,0.00328042
2,6.41602,0.80469,0.87097,0.99194,0.43719,0.00660721,0.00660721,0.00660721
3,9.0796,0.58212,0.8871,0.99194,0.39716,0.00992739,0.00992739,0.00992739
4,11.6359,0.52214,0.87903,0.99194,0.4584,0.0099703,0.0099703,0.0099703
5,14.1644,0.49522,0.8871,1,0.453,0.0099604,0.0099604,0.0099604
6,16.697,0.45548,0.87097,1,0.50009,0.0099505,0.0099505,0.0099505
7,19.1821,0.41924,0.58871,0.99194,1.79468,0.0099406,0.0099406,0.0099406
8,21.733,0.44271,0.78226,1,0.5885,0.0099307,0.0099307,0.0099307
9,24.1958,0.41555,0.79839,1,0.58029,0.0099208,0.0099208,0.0099208
10,26.7637,0.4385,0.81452,1,0.54144,0.0099109,0.0099109,0.0099109
11,29.282,0.42463,0.79839,0.99194,0.75098,0.009901,0.009901,0.009901
12,31.7947,0.43763,0.82258,1,0.57385,0.0098911,0.0098911,0.0098911
13,34.331,0.39587,0.82258,1,0.51276,0.0098812,0.0098812,0.0098812
14,36.8889,0.38531,0.74194,0.99194,0.92017,0.0098713,0.0098713,0.0098713
15,39.4473,0.39182,0.73387,1,0.83069,0.0098614,0.0098614,0.0098614
16,41.9782,0.42358,0.78226,1,0.90173,0.0098515,0.0098515,0.0098515
17,44.4986,0.37305,0.79839,0.99194,0.74359,0.0098416,0.0098416,0.0098416
18,47.0001,0.3794,0.83065,1,0.69513,0.0098317,0.0098317,0.0098317
19,49.4996,0.33358,0.83871,1,0.72961,0.0098218,0.0098218,0.0098218
20,52.0439,0.35502,0.8629,1,0.60907,0.0098119,0.0098119,0.0098119
21,54.5627,0.3519,0.75,1,0.85522,0.009802,0.009802,0.009802
22,57.0935,0.33204,0.83065,1,0.62982,0.0097921,0.0097921,0.0097921
23,59.5898,0.34516,0.79032,0.99194,0.68494,0.0097822,0.0097822,0.0097822
24,62.0859,0.32494,0.81452,1,0.77148,0.0097723,0.0097723,0.0097723
25,64.6117,0.35688,0.78226,1,0.68689,0.0097624,0.0097624,0.0097624
26,67.1183,0.29557,0.78226,1,0.67383,0.0097525,0.0097525,0.0097525
27,69.7036,0.33518,0.85484,1,0.59332,0.0097426,0.0097426,0.0097426
28,72.2113,0.2901,0.77419,1,0.72028,0.0097327,0.0097327,0.0097327
29,74.7066,0.344,0.71774,0.98387,1.17114,0.0097228,0.0097228,0.0097228
30,77.2672,0.25822,0.79032,1,0.70032,0.0097129,0.0097129,0.0097129
31,79.8279,0.29253,0.82258,0.99194,0.78271,0.009703,0.009703,0.009703
32,82.3318,0.32726,0.81452,1,0.70276,0.0096931,0.0096931,0.0096931
33,84.8938,0.34333,0.78226,1,0.77161,0.0096832,0.0096832,0.0096832
34,87.4273,0.27889,0.82258,1,0.5816,0.0096733,0.0096733,0.0096733
35,89.9103,0.27439,0.79839,1,0.66064,0.0096634,0.0096634,0.0096634
36,92.4451,0.3127,0.76613,1,0.79376,0.0096535,0.0096535,0.0096535
37,94.9651,0.3046,0.83871,1,0.57629,0.0096436,0.0096436,0.0096436
38,97.4449,0.31197,0.73387,1,0.9259,0.0096337,0.0096337,0.0096337
39,99.9339,0.26422,0.79032,0.99194,0.81201,0.0096238,0.0096238,0.0096238
40,102.413,0.29857,0.78226,1,0.75885,0.0096139,0.0096139,0.0096139
41,104.929,0.27384,0.75806,1,1.0224,0.009604,0.009604,0.009604
42,107.561,0.2504,0.77419,1,0.9126,0.0095941,0.0095941,0.0095941
43,110.098,0.25476,0.77419,0.98387,0.99689,0.0095842,0.0095842,0.0095842
44,112.694,0.22686,0.84677,1,0.71909,0.0095743,0.0095743,0.0095743
45,115.165,0.33381,0.77419,1,0.85474,0.0095644,0.0095644,0.0095644
46,117.726,0.30122,0.78226,1,0.9762,0.0095545,0.0095545,0.0095545
47,120.26,0.28089,0.76613,0.99194,0.90131,0.0095446,0.0095446,0.0095446
48,122.756,0.28049,0.72581,0.98387,1.02466,0.0095347,0.0095347,0.0095347
49,125.328,0.23166,0.77419,1,0.81299,0.0095248,0.0095248,0.0095248
50,127.833,0.26324,0.78226,0.99194,0.7948,0.0095149,0.0095149,0.0095149
51,130.362,0.28702,0.80645,1,0.89319,0.009505,0.009505,0.009505
52,132.88,0.25023,0.81452,1,0.81775,0.0094951,0.0094951,0.0094951
53,135.345,0.2741,0.6371,0.98387,1.67212,0.0094852,0.0094852,0.0094852
54,137.883,0.26671,0.81452,1,0.77258,0.0094753,0.0094753,0.0094753
55,140.415,0.25471,0.76613,1,0.92041,0.0094654,0.0094654,0.0094654
56,142.996,0.2358,0.74194,0.99194,0.9519,0.0094555,0.0094555,0.0094555
57,145.516,0.22025,0.79032,1,0.89862,0.0094456,0.0094456,0.0094456
58,148.045,0.22593,0.82258,1,0.72919,0.0094357,0.0094357,0.0094357
59,150.566,0.27677,0.79032,1,0.91235,0.0094258,0.0094258,0.0094258
60,153.069,0.21852,0.76613,0.99194,0.76953,0.0094159,0.0094159,0.0094159
61,155.631,0.24847,0.58871,0.97581,2.11572,0.009406,0.009406,0.009406
62,158.198,0.24911,0.77419,0.99194,0.8313,0.0093961,0.0093961,0.0093961
63,160.749,0.26129,0.69355,0.98387,1.31677,0.0093862,0.0093862,0.0093862
64,163.234,0.23636,0.76613,1,0.97729,0.0093763,0.0093763,0.0093763
65,165.722,0.23174,0.71774,1,0.77661,0.0093664,0.0093664,0.0093664
66,168.194,0.22997,0.70968,1,0.98035,0.0093565,0.0093565,0.0093565
67,170.662,0.2457,0.79032,1,0.74359,0.0093466,0.0093466,0.0093466
68,173.184,0.16175,0.82258,1,0.6936,0.0093367,0.0093367,0.0093367
69,175.664,0.20092,0.78226,0.98387,0.79614,0.0093268,0.0093268,0.0093268
70,178.231,0.19087,0.83871,1,0.66385,0.0093169,0.0093169,0.0093169
71,180.711,0.25718,0.77419,1,0.65912,0.009307,0.009307,0.009307
72,183.262,0.20544,0.78226,1,0.79297,0.0092971,0.0092971,0.0092971
73,185.796,0.21633,0.75,1,0.84216,0.0092872,0.0092872,0.0092872
74,188.335,0.22212,0.72581,1,1.06665,0.0092773,0.0092773,0.0092773
75,190.843,0.22329,0.76613,1,0.96179,0.0092674,0.0092674,0.0092674
76,193.45,0.23827,0.77419,1,0.74323,0.0092575,0.0092575,0.0092575
77,195.952,0.20176,0.76613,1,0.71808,0.0092476,0.0092476,0.0092476
78,198.496,0.18259,0.82258,1,0.72778,0.0092377,0.0092377,0.0092377
79,200.961,0.18599,0.79839,1,0.82422,0.0092278,0.0092278,0.0092278
80,203.496,0.21478,0.74194,1,0.96436,0.0092179,0.0092179,0.0092179
81,206.044,0.20682,0.66129,0.97581,1.42383,0.009208,0.009208,0.009208
82,208.532,0.25257,0.80645,1,0.69818,0.0091981,0.0091981,0.0091981
83,211.081,0.1931,0.79032,1,0.73181,0.0091882,0.0091882,0.0091882
84,213.58,0.19777,0.75,1,0.98657,0.0091783,0.0091783,0.0091783
85,216.062,0.17445,0.79032,1,0.9115,0.0091684,0.0091684,0.0091684
86,218.599,0.21768,0.71774,1,1.01868,0.0091585,0.0091585,0.0091585
87,221.13,0.215,0.79839,1,0.77234,0.0091486,0.0091486,0.0091486
88,223.612,0.22721,0.79032,1,0.84564,0.0091387,0.0091387,0.0091387
89,226.134,0.18122,0.79839,1,0.82666,0.0091288,0.0091288,0.0091288
90,228.646,0.22546,0.79032,1,0.75677,0.0091189,0.0091189,0.0091189
91,231.195,0.19982,0.81452,1,0.80005,0.009109,0.009109,0.009109
92,233.712,0.17786,0.83871,1,0.73871,0.0090991,0.0090991,0.0090991
93,236.162,0.17396,0.82258,1,0.62842,0.0090892,0.0090892,0.0090892
94,238.695,0.15408,0.81452,0.99194,0.71289,0.0090793,0.0090793,0.0090793
95,241.211,0.17938,0.83065,0.99194,0.75513,0.0090694,0.0090694,0.0090694
96,243.768,0.1951,0.79032,1,0.75916,0.0090595,0.0090595,0.0090595
97,246.387,0.20167,0.72581,0.99194,1.01123,0.0090496,0.0090496,0.0090496
98,248.865,0.20262,0.85484,1,0.62427,0.0090397,0.0090397,0.0090397
99,251.365,0.16455,0.78226,1,0.72424,0.0090298,0.0090298,0.0090298
100,253.845,0.21038,0.83065,1,0.66541,0.0090199,0.0090199,0.0090199
101,256.328,0.16083,0.78226,1,0.88989,0.00901,0.00901,0.00901
102,258.861,0.17324,0.79839,1,0.89404,0.0090001,0.0090001,0.0090001
103,261.398,0.15152,0.75806,1,1.04321,0.0089902,0.0089902,0.0089902
104,263.894,0.14237,0.82258,1,0.91553,0.0089803,0.0089803,0.0089803
105,266.411,0.16266,0.78226,0.99194,1.01978,0.0089704,0.0089704,0.0089704
