epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,59.008,0,0,1.16198,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00148207,0.00148207,0.00148207
40,60.4415,0,0,0.86762,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.001519,0.001519,0.001519
41,61.8981,0,0,0.85734,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00155585,0.00155585,0.00155585
42,63.3644,0,0,0.62126,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00159262,0.00159262,0.00159262
43,64.6943,0,0,0.46153,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00162931,0.00162931,0.00162931
44,66.1469,0,0,0.45266,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00166593,0.00166593,0.00166593
45,67.5303,0,0,0.33209,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00170246,0.00170246,0.00170246
46,68.9951,0,0,0.3238,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00173892,0.00173892,0.00173892
47,70.4478,0,0,0.22376,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0017753,0.0017753,0.0017753
48,71.8614,0,0,0.22229,0,0.0025,0.09375,0.00138,0.0005,0,0,0,0,nan,nan,nan,nan,0.00181159,0.00181159,0.00181159
49,73.2294,0,0,0.15897,0,0.0025,0.09375,0.00138,0.0005,0,0,0,0,nan,nan,nan,nan,0.00184781,0.00184781,0.00184781
50,74.6969,0,0,0.16391,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00188395,0.00188395,0.00188395
51,76.1294,0,0,0.13114,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.001901,0.001901,0.001901
52,77.6258,0,0,0.13596,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00189902,0.00189902,0.00189902
53,79.0481,0,0,0.0822,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00189704,0.00189704,0.00189704
54,80.4931,0,0,0.08068,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00189506,0.00189506,0.00189506
55,81.8636,0,0,0.05651,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00189308,0.00189308,0.00189308
56,83.2306,0,0,0.05718,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0018911,0.0018911,0.0018911
57,84.645,0,0,0.04286,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00188912,0.00188912,0.00188912
58,86.1149,0,0,0.037,0,0.25,0.03125,0.033,0.0165,0,0,0,0,nan,nan,nan,nan,0.00188714,0.00188714,0.00188714
59,87.5815,0,0,0.025,0,0.25,0.03125,0.033,0.0165,0,0,0,0,nan,nan,nan,nan,0.00188516,0.00188516,0.00188516
60,89.0307,0,0,0.02509,0,0.03077,0.0625,0.01681,0.00333,0,0,0,0,nan,nan,nan,nan,0.00188318,0.00188318,0.00188318
61,90.4482,0,0,0.01194,0,0.03077,0.0625,0.01681,0.00333,0,0,0,0,nan,nan,nan,nan,0.0018812,0.0018812,0.0018812
62,91.864,0,0,0.01006,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00187922,0.00187922,0.00187922
63,93.2999,0,0,0.00287,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00187724,0.00187724,0.00187724
