epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,190.375,0.56798,0.55046,1,1.58301,0.0092476,0.0092476,0.0092476
78,192.679,0.52188,0.55046,1,1.80005,0.0092377,0.0092377,0.0092377
79,194.943,0.53404,0.55963,1,1.56689,0.0092278,0.0092278,0.0092278
80,197.21,0.52798,0.55046,1,1.50952,0.0092179,0.0092179,0.0092179
81,199.486,0.54755,0.50459,1,1.73071,0.009208,0.009208,0.009208
82,201.858,0.4985,0.55046,1,1.70825,0.0091981,0.0091981,0.0091981
83,204.259,0.45688,0.58716,1,1.57324,0.0091882,0.0091882,0.0091882
84,206.627,0.46916,0.50459,1,1.87598,0.0091783,0.0091783,0.0091783
85,208.879,0.51178,0.52294,1,1.62988,0.0091684,0.0091684,0.0091684
86,211.171,0.52189,0.58716,1,1.38794,0.0091585,0.0091585,0.0091585
87,213.575,0.45781,0.53211,1,1.58655,0.0091486,0.0091486,0.0091486
88,215.876,0.46223,0.50459,1,1.72119,0.0091387,0.0091387,0.0091387
89,218.125,0.43733,0.6055,1,1.41187,0.0091288,0.0091288,0.0091288
90,220.492,0.49446,0.55963,1,1.43127,0.0091189,0.0091189,0.0091189
91,222.776,0.46603,0.56881,1,1.49316,0.009109,0.009109,0.009109
92,225.042,0.43989,0.50459,1,1.86914,0.0090991,0.0090991,0.0090991
93,227.259,0.42047,0.58716,1,1.66516,0.0090892,0.0090892,0.0090892
94,229.53,0.52028,0.55046,1,1.45056,0.0090793,0.0090793,0.0090793
95,231.776,0.44103,0.54128,1,1.84058,0.0090694,0.0090694,0.0090694
96,234.012,0.46336,0.53211,1,2.04517,0.0090595,0.0090595,0.0090595
97,236.258,0.40159,0.50459,1,2.09546,0.0090496,0.0090496,0.0090496
98,238.525,0.4208,0.55046,1,1.59204,0.0090397,0.0090397,0.0090397
99,240.787,0.37342,0.54128,1,1.64307,0.0090298,0.0090298,0.0090298
100,243.042,0.43729,0.50459,1,1.64795,0.0090199,0.0090199,0.0090199
101,245.305,0.43428,0.55046,1,1.86841,0.00901,0.00901,0.00901
102,247.536,0.43162,0.55046,1,1.85938,0.0090001,0.0090001,0.0090001
103,249.898,0.42813,0.53211,1,1.69714,0.0089902,0.0089902,0.0089902
104,252.25,0.45346,0.52294,1,1.80957,0.0089803,0.0089803,0.0089803
