epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3117,0.42097,0.32634,0.87182,0.86823,0.77517,0.86535,0.5893,1.1915,1.24532,1.2816,0.00328431,0.00328431,0.00328431
2,26.2593,0.43978,0.33895,0.88333,0.87385,0.79412,0.85398,0.57148,1.21336,2.13552,1.33955,0.00661437,0.00661437,0.00661437
3,38.7031,0.45453,0.34334,0.89382,0.82944,0.81051,0.85869,0.59073,1.19549,1.50218,1.30434,0.00994113,0.00994113,0.00994113
4,51.4418,0.48991,0.37583,0.8939,0.85713,0.70582,0.7982,0.52931,1.14258,1.30224,1.27156,0.00998515,0.00998515,0.00998515
5,64.119,0.48832,0.37108,0.89231,0.83781,0.7402,0.83082,0.55549,1.20779,1.22436,1.31664,0.0099802,0.0099802,0.0099802
6,77.152,0.52335,0.39793,0.90977,0.83417,0.77451,0.80292,0.52486,1.25671,2.04295,1.31181,0.00997525,0.00997525,0.00997525
7,89.3762,0.53655,0.41455,0.90928,0.8644,0.73039,0.82039,0.53322,1.3548,1.54093,1.40147,0.0099703,0.0099703,0.0099703
8,101.676,0.52387,0.40114,0.90185,0.84203,0.71078,0.82622,0.55317,1.29981,1.47743,1.37795,0.00996535,0.00996535,0.00996535
9,114.077,0.52559,0.40187,0.9081,0.90211,0.70588,0.84513,0.56645,1.37798,1.45611,1.45923,0.0099604,0.0099604,0.0099604
10,128.135,0.53597,0.39079,0.9103,0.86455,0.76471,0.81059,0.53571,1.28295,1.84281,1.39591,0.00995545,0.00995545,0.00995545
11,144.219,0.53571,0.39613,0.91184,0.84179,0.67814,0.77875,0.51732,1.3086,1.84148,1.35424,0.0099505,0.0099505,0.0099505
12,158.181,0.55355,0.43292,0.92759,0.88889,0.72549,0.81172,0.52909,1.38381,3.08618,1.41351,0.00994555,0.00994555,0.00994555
13,171.263,0.54316,0.42353,0.9172,0.85062,0.6699,0.76772,0.49587,1.31596,1.96016,1.30953,0.0099406,0.0099406,0.0099406
14,183.978,0.52559,0.40498,0.90952,0.83252,0.73102,0.8251,0.54905,1.34895,3.00952,1.36588,0.00993565,0.00993565,0.00993565
15,196.643,0.53267,0.41772,0.92029,0.84958,0.71078,0.76482,0.50173,1.22848,5.17632,1.29067,0.0099307,0.0099307,0.0099307
